nome_empresa,categoria_principal,subcategoria1,subcategoria2,coluna_origem
InMediam - Garantia Locatícia,,,,empresa3
Incorp mobile,,,,empresa3
Inovyo - market intelligence,,,,empresa3
Insignia,,,,empresa3
Instituto Ciinco,,,,empresa3
Inteligência Cartorial,,,,empresa3
Intelizap business,,,,empresa3
Investimento Certo,,,,empresa3
Investweb,,,,empresa1
JASMMÍN,,,,empresas2
JUNTOS - energia compartilhada,,,,empresa4
Jobber,,,,empresas2
Jobpass,,,,empresa4
K.BANA,,,,empresas2
KOPER,,,,empresas2
Kenlo,,,,empresa3
Key Place - flexible spaces worldwide,,,,empresa4
KitchenCentral,,,,empresa4
Konstit,,,,empresa3
Kurole,,,,empresa3
LAMBRIS,,,,empresa3
LANDAPP,,,,empresas2
LAR,,,,empresa3
LEVI,,,,empresa3
LEVITAR - drone intelligence,,,,empresas2
LIVAR,,,,empresa3
LIVROata,,,,empresa4
LOCARES - Casa Containers e Projetos Customizados,,,,empresas2
LOG BOXX,,,,empresas2
LORD DRONE - imagens inteligentes,,,,empresas2
Lastro,,,,empresa3
LeadFlow,,,,empresa3
Leadfy,,,,empresa3
Leads4Sales,,,,empresa3
Leadster,,,,empresa3
Leankeep,,,,empresa4
Leeilo,,,,empresa3
Leilão Imóvel,,,,empresa3
Lemon,,,,empresa4
Lend Me,,,,empresa3
Letmein,,,,empresa4
Lightwall,,,,empresas2
LikeHome - Gestão e Hospedagens,,,,empresa4
Linha Direta,,,,empresa4
Livance,,,,empresa4
Livo,,,,empresa4
Lobie,,,,empresa4
LocX,,,,empresa4
Locates,,,,empresa3
LogShare,,,,empresa4
LojadaConstrução,,,,empresas2
Lokkan - A imobiliária digital,,,,empresa3
Loomy,,,,empresa4
LoopKey,,,,empresa4
Loppo,,,,empresa3
Lote Mobile,,,,empresa3
Luggo,,,,empresa4
Lydia - sistemas inteligentes,,,,empresa3
MAHNAI,,,,empresa4
MANU HELP,,,,empresa4
MASSIVA,,,,empresas2
MAYA ENERGY,,,,empresa4
MEU AGRIMENSOR,,,,empresa1
MEURESÍDUO,,,,empresas2
MINIMOD,,,,empresas2
MODHUS - arquitetura modular,,,,empresas2
MODO,,,,empresas2
