emresa,categoria_principal,subcategoria,
MOSHE 3000,Construção,Materiais de construção,
MASSIVA,Construção,Materiais de construção,
Smartop,Construção,Materiais de construção,
STEEL MOLD,Construção,Materiais de construção,
isobloco - Smart Buildingtech,Construção,Materiais de construção,
Lightwall,Construção,Materiais de construção,
X LAM ENGINEERING,Construção,Materiais de construção,
Tetris Modular,Construção,Materiais de construção,
-,Construção,Materiais de construção,
TimBau Estruturas,Construção,Materiais de construção,
EBRICKS,Construção,Materiais de construção,
amera,Construção,Materiais de construção,
ECOTELHASOLAR,Construção,Materiais de construção,
mush,Construção,Materiais de construção,
Telhas TELITE,Construção,Materiais de construção,
Tégula Solar,Construção,Materiais de construção,
4VANTS - vision analytics,Construção,Mapeamento e acompanhamento,
ALTAVE,Construção,Mapeamento e acompanhamento,
Facilit'Air - Soluções por Drones,Construção,Mapeamento e acompanhamento,
FLUGDRONES,Construção,Mapeamento e acompanhamento,
BIMSTART,Construção,Mapeamento e acompanhamento,
OBRA 3D,Construção,Mapeamento e acompanhamento,
mappa,Construção,Mapeamento e acompanhamento,
GEOINOVA,Construção,Mapeamento e acompanhamento,
Maply,Construção,Mapeamento e acompanhamento,
DronEng - Drones e Engenharia,Construção,Mapeamento e acompanhamento,
LEVITAR - drone intelligence,Construção,Mapeamento e acompanhamento,
"PROP - drones, soluções aéreas",Construção,Mapeamento e acompanhamento,
PIX FORCE,Construção,Mapeamento e acompanhamento,
LORD DRONE - imagens inteligentes,Construção,Mapeamento e acompanhamento,
TERRA ump DRONES,Construção,Mapeamento e acompanhamento,
WillFly,Construção,Mapeamento e acompanhamento,
DURASA,Construção,Métodos construtivos,
AMERA,Construção,Métodos construtivos,
MINIMOD,Construção,Métodos construtivos,
immergrun - construções inteligentes,Construção,Métodos construtivos,
techome,Construção,Métodos construtivos,
inovahouse,Construção,Métodos construtivos,
VISIA,Construção,Métodos construtivos,
modulife - construção modular,Construção,Métodos construtivos,
iBUILD - construções inteligentes,Construção,Métodos construtivos,
CONTAINER EXPRESS,Construção,Métodos construtivos,
TEGO FRAME,Construção,Métodos construtivos,
oak offsite,Construção,Métodos construtivos,
CSTEEL,Construção,Métodos construtivos,
TCI,Construção,Métodos construtivos,
noah - wood building design,Construção,Métodos construtivos,
EcoNEXT - the next generation of building,Construção,Métodos construtivos,
MODUZ - construção modular,Construção,Métodos construtivos,
tinylife,Construção,Métodos construtivos,
CONTAINER MODULAR,Construção,Métodos construtivos,
Docking Modules - construindo o futuro,Construção,Métodos construtivos,
HEIMA SOLUTIONS,Construção,Métodos construtivos,
MODOOLAR - construções inteligentes,Construção,Métodos construtivos,
LOCARES - Casa Containers e Projetos Customizados,Construção,Métodos construtivos,
LOG BOXX,Construção,Métodos construtivos,
Universo dos Containers - projetos residenciais e comerciais,Construção,Métodos construtivos,
MORECO - modular rental company,Construção,Métodos construtivos,
K.BANA,Construção,Métodos construtivos,
d.,Construção,Métodos construtivos,
MODHUS - arquitetura modular,Construção,Métodos construtivos,
mora,Construção,Métodos construtivos,
-,Construção,Métodos construtivos,
tiny Brasil,Construção,Métodos construtivos,
cubicset - More for Less,Construção,Métodos construtivos,
STEEL GROUP,Construção,Métodos construtivos,
ARATAU Construção Modular,Construção,Métodos construtivos,
-,Construção,Métodos construtivos,
MODO,Construção,Métodos construtivos,
umbria construção modular,Construção,Métodos construtivos,
capsu,Construção,Métodos construtivos,
-,Construção,Métodos construtivos,
PRISMA,Construção,Métodos construtivos,
DOMUS3D - printing the future in concrete,Construção,Métodos construtivos,
nano¹,Construção,Métodos construtivos,
BioBox - Sustainable Houses,Construção,Métodos construtivos,
oztra,Construção,Métodos construtivos,
smart pods,Construção,Métodos construtivos,
esphera - Soluções Ambientais,Construção,Sustentabilidade,
SkambO OBRA,Construção,Sustentabilidade,
MEURESÍDUO,Construção,Sustentabilidade,
eloverde,Construção,Sustentabilidade,
NETResíduos,Construção,Sustentabilidade,
Vertown - nada se perde,Construção,Sustentabilidade,
ambisis - software para gestão ambiental,Construção,Sustentabilidade,
B2Blue.com - valorizando seu resíduo,Construção,Sustentabilidade,
okena,Construção,Sustentabilidade,
destinejá,Construção,Sustentabilidade,
aterra,Construção,Sustentabilidade,
LANDAPP,Construção,Sustentabilidade,
POLEN,Construção,Sustentabilidade,
recigreen - tecnologia verde,Construção,Sustentabilidade,
RECICLA.CLUB,Construção,Sustentabilidade,
revi,Construção,Sustentabilidade,
GREENPLAT - accelerating sustainable production,Construção,Sustentabilidade,
ecomud - soluções ambientais e pavimentação,Construção,Sustentabilidade,
FACILITAT - desempenho no pós-obra,Construção,Gestão pós obra,
app assist,Construção,Gestão pós obra,
PREDIALIZE,Construção,Gestão pós obra,
EASY ALERT,Construção,Gestão pós obra,
NAVE,Construção,Gestão pós obra,
vistora,Construção,Gestão pós obra,
FASTBUILT,Construção,Gestão pós obra,
linkana,Construção,Outros,
EXY - empowering people,Construção,Outros,
BrokerHunter,Aquisição,Conteúdo e educação,
Instituto Ciinco,Aquisição,Conteúdo e educação,
Corretor Global,Aquisição,Conteúdo e educação,
Play2sell,Aquisição,Conteúdo e educação,
havite,Aquisição,Site building,
Tecimob,Aquisição,Site building,
ImobiBrasil,Aquisição,Site building,
imobiliária ajato,Aquisição,Site building,
Kurole,Aquisição,Site building,
SIMO,Aquisição,Site building,
Crecido,Aquisição,Site building,
Beaver,Aquisição,Documentação e jurídico,
Vivalisto,Aquisição,Documentação e jurídico,
Portdata,Aquisição,Documentação e jurídico,
reserva.blue,Aquisição,Documentação e jurídico,
Cardeal,Aquisição,Documentação e jurídico,
RevoluTI,Aquisição,Documentação e jurídico,
ITDOC,Aquisição,Documentação e jurídico,
99contratos,Aquisição,Documentação e jurídico,
CoBenS,Aquisição,Documentação e jurídico,
Inteligência Cartorial,Aquisição,Documentação e jurídico,
,Aquisição,Recomendação de imóveis ,
livvu,Aquisição,Recomendação de imóveis ,
date a home,Aquisição,Recomendação de imóveis ,
LIVAR,Aquisição,Recomendação de imóveis ,
ImóveisPRO,Aquisição,Recomendação de imóveis ,
appê+,Aquisição,Recomendação de imóveis ,
Meu Imóvel,Aquisição,Recomendação de imóveis ,
Quero meu apê,Aquisição,Marketing digital,
ELEPHANTSKIN,Aquisição,Marketing digital,
Socialis,Aquisição,Marketing digital,
imox.ai,Aquisição,Marketing digital,
imobbox,Aquisição,Marketing digital,
Publimovel,Aquisição,Marketing digital,
Hub Growth,Aquisição,Marketing digital,
99web,Aquisição,Marketing digital,
innovv,Aquisição,Marketing digital,
liveprint!,Aquisição,Marketing digital,
praedium,Aquisição,CRM,
nia - tecnologia para negócios,Aquisição,CRM,
HYPNOBOX,Aquisição,CRM,
SOFT42,Aquisição,CRM,
ISMOB,Aquisição,CRM,
sohtec,Aquisição,CRM,
widesys,Aquisição,CRM,
capys,Aquisição,CRM,
Si9,Aquisição,CRM,
Fantástiko - marketplace imobiliário,Aquisição,CRM,
SMART - imobiliário,Aquisição,CRM,
Facilita.,Aquisição,CRM,
